State,Year,Rape,K&A,DD,AoW,AoM,DV,WT,State Population,Total Crimes,Crime Rate
KERALA,2007,512,177,27,2624,262,3999,0,31141976,7601,24.4075713114672
KERALA,2008,568,166,31,2745,258,4138,0,31693189,7906,24.94542281623979
KERALA,2009,568,173,20,2540,395,4007,0,32254158,7703,23.88219218123753
KERALA,2010,634,184,22,2936,537,4797,0,32825057,9110,27.75318866925349
KERALA,2011,1132,221,15,0,573,5377,197,33406061,7515,22.495917731815197
KERALA,2012,1019,214,32,3735,498,5216,210,33873745,10924,32.249165245826816
KERALA,2013,1221,185,21,4362,404,4820,180,34347978,11193,32.58707106427051
KERALA,2014,1347,143,3,4367,980,4919,91,34828849,11850,34.02351883635316
KERALA,2015,1256,192,8,3987,1145,3668,135,35316453,10391,29.42254704910485
KERALA,2016,1656,166,25,4029,1273,3455,113,35810884,10717,29.926655817823427
KERALA,2017,2003,184,12,4413,421,2856,21,36312236,9910,27.29107620913237
KERALA,2018,1945,173,17,4544,461,2046,4,36820607,9190,24.958849809292936
KERALA,2019,2023,227,8,4507,435,2970,10,37336096,10180,27.26583947073631
KERALA,2020,2339,4782,608,5378,200,5540,14,37858801,18861,49.819327347424455
KERALA,2021,2947,6106,522,5760,250,7929,15,38388825,23529,61.29127421847374
LAKSHADWEEP,2001,0,0,0,0,0,0,0,54097,0,0.0
LAKSHADWEEP,2002,1,0,0,1,0,0,0,55055,2,3.6327309054581782
LAKSHADWEEP,2003,2,0,0,1,0,1,0,56029,4,7.139160077816845
LAKSHADWEEP,2004,0,0,0,0,0,1,0,57021,1,1.7537398502306167
LAKSHADWEEP,2005,0,0,0,0,0,0,0,58030,0,0.0
LAKSHADWEEP,2006,0,0,0,0,0,1,0,59058,1,1.6932507026990418
LAKSHADWEEP,2007,1,0,0,2,0,2,0,60103,5,8.319052293562716
LAKSHADWEEP,2008,2,1,0,0,0,1,0,61167,4,6.539473899324799
LAKSHADWEEP,2009,1,0,0,0,0,0,0,62249,1,1.6064515092611928
LAKSHADWEEP,2010,0,0,0,0,0,0,0,63351,0,0.0
LAKSHADWEEP,2011,0,0,0,0,0,0,0,64473,0,0.0
LAKSHADWEEP,2012,0,0,0,1,0,1,0,65375,2,3.059273422562142
LAKSHADWEEP,2013,2,0,0,1,0,0,0,66290,3,4.525569467491327
LAKSHADWEEP,2014,1,0,0,1,0,0,0,67218,2,2.975393495789818
LAKSHADWEEP,2015,0,0,0,6,0,2,0,68160,8,11.737089201877934
LAKSHADWEEP,2016,5,0,0,1,0,2,0,69114,8,11.5750788552247
LAKSHADWEEP,2017,0,0,0,0,0,2,0,70081,2,2.8538405559281403
LAKSHADWEEP,2018,2,0,0,0,1,1,0,71063,4,5.628808240575264
LAKSHADWEEP,2019,0,0,0,5,8,0,0,72057,13,18.04127288119128
LAKSHADWEEP,2020,3,0,0,3,1,0,0,73066,7,9.580379383023567
LAKSHADWEEP,2021,0,0,0,1,1,3,0,74089,5,6.748640149009975
MADHYA PRADESH,2001,2851,668,609,7063,751,2562,0,60939546,14504,23.80063678190185
MADHYA PRADESH,2002,2891,639,674,7118,783,3117,0,62018176,15222,24.54441743014177
MADHYA PRADESH,2003,2738,608,648,6848,705,2938,0,63115898,14485,22.949843793714223
MADHYA PRADESH,2004,2875,584,751,6690,804,3436,0,64233049,15140,23.5704208903426
MADHYA PRADESH,2005,2921,604,739,6426,792,2989,3,65369974,14474,22.14166400004993
MADHYA PRADESH,2006,2900,617,764,6243,762,2989,0,66527023,14275,21.457445946438938
MADHYA PRADESH,2007,3010,701,742,6772,780,3294,0,67704551,15299,22.596708454650265
MADHYA PRADESH,2008,2937,736,805,6445,758,3185,0,68902921,14866,21.57528270826138
MADHYA PRADESH,2009,2998,841,858,6307,728,3983,1,70122503,15716,22.412206249968
MADHYA PRADESH,2010,3135,1030,892,6646,918,3756,5,71363672,16382,22.95565732660169
MADHYA PRADESH,2011,3406,1088,811,0,762,3732,24,72626809,9823,13.525308539991066
MADHYA PRADESH,2012,3425,1127,743,6655,774,3988,13,73643584,16725,22.71073607715779
MADHYA PRADESH,2013,4335,2873,776,8252,736,4988,22,74674594,21982,29.43705324999825
MADHYA PRADESH,2014,5076,5688,113,9609,3163,6451,15,75720038,30115,39.771506717944334
MADHYA PRADESH,2015,4391,4547,664,8049,2559,5281,25,76780119,25516,33.23256115297242
MADHYA PRADESH,2016,4882,4904,629,8717,3128,6264,20,77855041,28544,36.66300811529982
MADHYA PRADESH,2017,5562,5200,632,9252,277,6099,27,78945011,27049,34.263089785369715
MADHYA PRADESH,2018,5433,6126,547,8790,270,4159,40,80050241,25365,31.68635057575904
MADHYA PRADESH,2019,2485,6091,550,5585,174,5486,21,81170945,20392,25.12228975528128
MADHYA PRADESH,2020,2061,5254,197,9965,969,6729,85,82307338,25260,30.68985173594121
MADHYA PRADESH,2021,2496,7559,172,10568,1038,10095,95,83459641,32023,38.3694437410772
MAHARASHTRA,2001,1302,611,308,2823,1120,6090,1,94290813,12255,12.99702442909258
MAHARASHTRA,2002,1352,650,303,2686,769,5353,0,95959760,11113,11.580895992236746
MAHARASHTRA,2003,1268,626,368,2661,682,5452,0,97658248,11057,11.322136354524812
MAHARASHTRA,2004,1388,787,314,2831,862,5646,0,99386799,11828,11.900976909418322
MAHARASHTRA,2005,1545,851,341,3228,919,6233,0,101145945,13117,12.968389390202445
MAHARASHTRA,2006,1500,921,387,3479,984,6738,1,102936229,14010,13.610368415575044
MAHARASHTRA,2007,1451,967,436,3306,1039,7356,0,104758200,14555,13.89390042975156
MAHARASHTRA,2008,1558,998,390,3619,1091,7829,0,106612420,15485,14.524574153743062
MAHARASHTRA,2009,1483,926,341,3196,1099,7681,0,108499460,14726,13.572417779775126
MAHARASHTRA,2010,1599,1124,393,3661,1180,7434,0,110419900,15391,13.93861070332431
MAHARASHTRA,2011,1701,1252,339,0,1071,7136,390,112374333,11889,10.57981807998807
MAHARASHTRA,2012,1839,1140,329,3935,1294,7415,366,113947573,16318,14.32062094029857
MAHARASHTRA,2013,3063,1874,320,8132,2632,8542,289,115542839,24852,21.50890545453881
MAHARASHTRA,2014,3438,2457,39,10001,4052,7696,202,117160439,27885,23.80069606943006
MAHARASHTRA,2015,4144,5096,268,11713,4751,7640,381,118800685,33993,28.61347137855308
MAHARASHTRA,2016,4189,6170,248,11396,4057,7215,303,120463895,33578,27.873911930209463
MAHARASHTRA,2017,1933,6248,233,9392,919,6584,248,122150389,25557,20.922569472946996
MAHARASHTRA,2018,2142,6825,200,10835,1074,6862,200,123860495,28138,22.717493580176637
MAHARASHTRA,2019,2299,6906,196,10472,1074,8430,152,125594542,29529,23.51137201487625
MAHARASHTRA,2020,32,49,1,61,8,7,0,127352865,158,0.1240647393366454
MAHARASHTRA,2021,26,44,2,92,16,18,0,129135805,198,0.1533269568420625
MANIPUR,2001,20,62,0,21,0,5,0,2396233,108,4.507074228591293
MANIPUR,2002,14,82,0,58,0,10,0,2438646,164,6.725043323221164
MANIPUR,2003,18,71,0,44,0,4,0,2481810,137,5.520164718491746
MANIPUR,2004,31,71,0,30,0,2,0,2525738,134,5.305380051295899
MANIPUR,2005,25,69,0,25,0,20,0,2570444,139,5.407626075495128
MANIPUR,2006,40,79,0,42,0,10,0,2615941,171,6.536844676542781
MANIPUR,2007,20,83,0,70,0,15,0,2662243,188,7.061714501643914
MANIPUR,2008,38,87,1,57,0,28,0,2709365,211,7.787802677011034
MANIPUR,2009,31,97,0,39,2,25,0,2757320,194,7.035817387898394
MANIPUR,2010,34,107,0,31,0,18,0,2806125,190,6.770902935542787
MANIPUR,2011,53,116,1,0,0,39,0,2855794,209,7.318455042625623
MANIPUR,2012,63,133,0,49,1,43,15,2895775,304,10.49805319819392
MANIPUR,2013,72,125,0,59,0,29,0,2936315,285,9.706043118670852
MANIPUR,2014,75,121,0,98,5,41,0,2977424,340,11.419267124870355
MANIPUR,2015,46,94,0,84,2,39,0,3019108,265,8.777426975119804
MANIPUR,2016,55,95,0,65,15,29,0,3061375,259,8.46025070434037
MANIPUR,2017,40,70,0,66,8,19,0,3104235,203,6.539453359684432
MANIPUR,2018,52,85,0,56,8,14,0,3147694,215,6.830397109757174
MANIPUR,2019,36,84,0,59,7,15,0,3191762,201,6.297462028810419
MANIPUR,2020,67,29,1,86,16,17,0,3236446,216,6.673987454139509
MANIPUR,2021,75,42,0,92,24,21,3,3281757,257,7.831170924599231
MEGHALAYA,2001,26,11,0,25,0,4,0,2489450,66,2.6511880134166184
MEGHALAYA,2002,38,10,0,23,0,0,0,2533514,71,2.8024317213167165
MEGHALAYA,2003,40,10,0,13,1,4,0,2578357,68,2.6373384290848785
MEGHALAYA,2004,54,18,2,34,0,5,0,2623994,113,4.306412286003703
MEGHALAYA,2005,63,19,1,44,0,3,0,2670438,130,4.868115267982256
MEGHALAYA,2006,74,25,6,57,0,13,0,2717705,175,6.439256652212068
MEGHALAYA,2007,82,22,2,45,1,19,0,2765809,171,6.182639509814307
MEGHALAYA,2008,88,25,2,54,4,32,0,2814763,205,7.283028802069658
MEGHALAYA,2009,112,26,0,72,1,24,1,2864585,236,8.238540661212706
MEGHALAYA,2010,149,37,0,48,0,24,0,2915288,258,8.84989750583819
MEGHALAYA,2011,130,37,1,0,1,21,2,2966889,192,6.471425119038832
MEGHALAYA,2012,164,24,1,43,0,16,7,3008425,255,8.476196016187872
MEGHALAYA,2013,183,33,2,98,0,23,4,3050543,343,11.243899856517348
MEGHALAYA,2014,118,38,1,105,0,42,3,3093251,307,9.924833128640383
MEGHALAYA,2015,93,58,1,95,22,44,0,3136556,313,9.979098093577797
MEGHALAYA,2016,190,51,0,68,20,26,2,3180468,357,11.224763148065
MEGHALAYA,2017,119,54,1,88,21,20,0,3224994,303,9.39536631696059
MEGHALAYA,2018,87,58,1,95,16,18,2,3270144,277,8.4705749960858
MEGHALAYA,2019,102,71,3,96,18,23,3,3315926,316,9.529766345811096
MEGHALAYA,2020,33,1,0,26,3,7,0,3362349,70,2.08187787763852
MEGHALAYA,2021,26,0,0,31,0,11,0,3409422,68,1.9944729634524565
MIZORAM,2001,52,1,0,52,0,16,3,920641,124,13.468876576211574
MIZORAM,2002,76,2,0,73,0,3,0,936936,154,16.43655489809336
MIZORAM,2003,54,2,0,88,0,3,0,953520,147,15.416561792096651
MIZORAM,2004,20,0,0,66,0,0,0,970397,86,8.86235221254806
MIZORAM,2005,37,0,4,49,4,0,0,987573,94,9.518283711685111
MIZORAM,2006,72,1,0,51,0,1,0,1005053,125,12.437155055504537
MIZORAM,2007,83,0,0,66,0,2,0,1022843,151,14.762773954556074
MIZORAM,2008,77,1,0,78,0,5,0,1040947,161,15.466685623763746
MIZORAM,2009,83,0,0,61,1,4,0,1059372,149,14.064936585071155
MIZORAM,2010,92,0,0,75,0,3,0,1078123,170,15.768145193080938
MIZORAM,2011,77,0,0,0,1,9,8,1097206,95,8.658355860248667
MIZORAM,2012,103,3,0,85,0,8,0,1112566,199,17.886579313047495
MIZORAM,2013,89,2,0,81,0,5,0,1128142,177,15.689514263275369
MIZORAM,2014,120,3,0,97,53,8,0,1143936,281,24.564311290142104
MIZORAM,2015,58,8,0,75,53,9,0,1159951,203,17.500739255365097
MIZORAM,2016,23,3,0,71,44,19,3,1176191,163,13.858293423432078
MIZORAM,2017,25,0,0,64,2,20,0,1192657,111,9.30695078299964
MIZORAM,2018,50,1,0,67,1,6,0,1209355,125,10.336088245387003
MIZORAM,2019,42,2,0,35,0,5,0,1226286,84,6.849951805696224
MIZORAM,2020,4,6,1,7,2,2,0,1243454,22,1.769265288462621
MIZORAM,2021,4,5,0,11,1,2,0,1260862,23,1.8241488759277384
NAGALAND,2001,17,6,0,6,0,0,0,1660117,29,1.746864829406602
NAGALAND,2002,17,4,0,1,0,0,0,1689501,22,1.302159631749256
NAGALAND,2003,14,3,0,4,2,0,1,1719405,24,1.3958316975930627
NAGALAND,2004,18,4,0,3,1,0,0,1749838,26,1.485851833141125
NAGALAND,2005,17,9,0,7,0,0,0,1780811,33,1.8530882839335563
NAGALAND,2006,23,3,0,3,2,3,0,1812331,34,1.8760369932424048
NAGALAND,2007,13,6,0,8,1,0,0,1844409,28,1.5181014623112337
NAGALAND,2008,19,7,0,15,1,4,0,1877055,46,2.450647423756896
NAGALAND,2009,22,10,0,11,0,0,0,1910279,43,2.25098009243676
NAGALAND,2010,16,6,0,13,3,1,0,1944091,39,2.0060789335478635
NAGALAND,2011,23,3,0,0,0,1,2,1978502,29,1.4657554048466972
NAGALAND,2012,21,10,0,16,0,0,4,2006201,51,2.542118162636745
NAGALAND,2013,31,11,1,18,1,4,1,2034287,67,3.2935372442531463
NAGALAND,2014,30,13,0,16,5,3,1,2062767,68,3.296542944501245
NAGALAND,2015,35,30,0,8,6,4,3,2091646,86,4.111594409379025
NAGALAND,2016,26,50,1,14,6,3,0,2120929,100,4.714915020729124
NAGALAND,2017,10,7,0,12,0,3,3,2150622,35,1.6274361556796126
NAGALAND,2018,10,35,0,10,5,3,1,2180731,64,2.934795717582774
NAGALAND,2019,8,13,0,8,1,0,0,2211261,30,1.3566919508823243
NAGALAND,2020,1211,3775,320,12605,615,3659,19,2242219,22204,990.269014757256
NAGALAND,2021,1456,5175,293,14853,838,4889,31,2273610,27535,1211.0696205593747
ODISHA,2001,790,434,294,1655,458,1266,0,35219636,4897,13.904175500280582
ODISHA,2002,691,432,248,1605,188,1167,0,35843024,4331,12.083243869155684
ODISHA,2003,725,373,279,1669,188,1289,0,36477445,4523,12.399442998269205
ODISHA,2004,770,423,319,1811,170,1192,0,37123096,4685,12.620175860332338
ODISHA,2005,799,547,334,2238,184,1671,0,37780175,5773,15.28050095056468
ODISHA,2006,985,577,457,2415,247,694,12,38448884,5387,14.010809780590773
ODISHA,2007,939,660,461,2775,241,728,0,39129429,5804,14.832825697507625
ODISHA,2008,1113,762,401,2782,282,1618,0,39822020,6958,17.472744978783094
ODISHA,2009,1023,799,384,2697,210,2047,1,40526870,7161,17.669758360317488
ODISHA,2010,1025,912,388,2905,232,2067,5,41244195,7534,18.26681306302621
ODISHA,2011,1112,1008,465,0,235,2320,23,41974218,5163,12.300407836067368
ODISHA,2012,1458,1364,525,4187,304,2638,24,42561857,10500,24.66997621837788
ODISHA,2013,1832,2067,395,4618,426,2792,27,43157723,12157,28.16877062768117
ODISHA,2014,1978,2436,646,5543,802,3114,32,43761931,14551,33.2503609130045
ODISHA,2015,2251,2587,356,6499,886,3605,35,44374598,16219,36.55019026876593
ODISHA,2016,1983,2291,397,8252,979,2781,38,44995842,16721,37.16121147371795
ODISHA,2017,2070,2773,326,9132,490,2525,21,45625784,17337,37.9982511642978
ODISHA,2018,918,2611,372,9973,506,1984,10,46264545,16374,35.392112902007355
ODISHA,2019,1382,3934,342,11308,536,2739,19,46912248,20260,43.187015894015566
ODISHA,2020,502,1241,63,731,28,1271,11,47569020,3847,8.087196246632788
ODISHA,2021,464,1616,69,678,39,1714,12,48234986,4592,9.520060812290897
PUDUCHERRY,2001,9,3,1,35,27,3,0,1047129,78,7.448938955945256
PUDUCHERRY,2002,6,6,5,59,26,9,0,1065663,111,10.416050852849352
PUDUCHERRY,2003,2,13,1,56,27,4,0,1084526,103,9.497236580773537
PUDUCHERRY,2004,4,8,6,50,30,2,0,1103722,100,9.060252491116422
PUDUCHERRY,2005,6,3,4,60,26,6,0,1123258,105,9.34780789453536
PUDUCHERRY,2006,9,13,3,56,39,19,0,1143139,139,12.159501163025668
PUDUCHERRY,2007,9,14,2,89,32,17,0,1163373,163,14.010983579642986
PUDUCHERRY,2008,8,9,2,65,21,12,0,1183965,117,9.882048878134068
PUDUCHERRY,2009,1,13,0,53,16,10,0,1204921,93,7.718348339849667
PUDUCHERRY,2010,3,14,1,46,22,7,0,1226248,93,7.584110228925959
PUDUCHERRY,2011,7,9,1,0,16,10,3,1247953,46,3.68603625296786
PUDUCHERRY,2012,13,16,0,9,2,6,4,1265424,50,3.951244800161843
PUDUCHERRY,2013,17,25,1,12,8,8,0,1283140,71,5.533301120688312
PUDUCHERRY,2014,10,7,14,32,12,4,1,1301104,80,6.148624552687563
PUDUCHERRY,2015,3,14,1,33,10,4,1,1319319,66,5.002580876952427
PUDUCHERRY,2016,6,11,0,43,13,15,0,1337790,88,6.578012991575659
PUDUCHERRY,2017,7,9,2,33,4,5,0,1356519,60,4.423085854307975
PUDUCHERRY,2018,0,14,0,60,9,8,4,1375510,95,6.906529214618577
PUDUCHERRY,2019,10,0,0,23,0,8,0,1394767,41,2.939559080477241
PUDUCHERRY,2020,8,0,2,25,0,9,0,1414294,44,3.1110928845063337
PUDUCHERRY,2021,2,0,2,31,3,12,0,1434094,50,3.4865218040100583
PUNJAB,2001,298,324,159,372,47,1128,0,23278820,2328,10.000506898545543
PUNJAB,2002,299,354,166,341,145,944,0,23690855,2249,9.493114537233884
PUNJAB,2003,380,295,110,346,199,987,0,24110183,2317,9.61004733974852
PUNJAB,2004,390,311,113,261,38,801,0,24536933,1914,7.800485904248913
PUNJAB,2005,398,329,99,308,43,729,0,24971237,1906,7.632781667964626
PUNJAB,2006,442,418,130,314,60,801,2,25413228,2167,8.527055280029755
PUNJAB,2007,519,545,133,427,48,971,0,25863042,2643,10.219215512235568
PUNJAB,2008,517,514,128,388,49,984,0,26320818,2580,9.802126970369994
PUNJAB,2009,511,513,126,319,33,1061,0,26786696,2563,9.568182653060312
PUNJAB,2010,546,576,121,349,38,1163,0,27260821,2793,10.245472797756165
PUNJAB,2011,479,517,143,0,31,1136,50,27743338,2356,8.492128813050543
PUNJAB,2012,680,689,118,340,31,1293,86,28131744,3237,11.506574210258703
PUNJAB,2013,888,987,126,1045,67,1741,137,28525589,4991,17.49657123644318
PUNJAB,2014,981,1176,5,1113,344,1681,63,28924947,5363,18.541088424466256
PUNJAB,2015,886,1253,85,1123,400,1583,69,29329896,5399,18.407838882210832
PUNJAB,2016,838,1208,80,1025,325,1568,64,29740515,5108,17.17522376461874
PUNJAB,2017,530,1099,68,933,22,1199,7,30156882,3858,12.79309976409365
PUNJAB,2018,831,1266,67,956,19,1470,6,30579078,4615,15.09201814390872
PUNJAB,2019,1002,1534,69,944,35,1595,9,31007185,5188,16.731605916499674
PUNJAB,2020,5310,4739,479,8661,85,13765,67,31441286,33106,105.2946752877729
PUNJAB,2021,6337,5964,452,9079,73,16949,40,31881464,38894,121.9956523953856
RAJASTHAN,2001,1049,2165,376,2878,56,5532,1,57517474,12057,20.96232529265802
RAJASTHAN,2002,1051,2019,399,2730,44,5691,0,58535534,11934,20.387616178576245
RAJASTHAN,2003,1050,1750,389,2715,33,5733,1,59571613,11671,19.59154606070512
RAJASTHAN,2004,1038,1881,379,2825,41,6781,1,60626030,12946,21.35386400857849
RAJASTHAN,2005,993,1549,361,2503,28,5997,0,61699111,11431,18.52700924653517
RAJASTHAN,2006,1085,1553,394,2582,31,7038,3,62791185,12686,20.20347282823218
RAJASTHAN,2007,1238,1694,439,2477,28,8170,0,63902589,14046,21.980330092729105
RAJASTHAN,2008,1355,1863,439,2520,19,8113,0,65033665,14309,22.00245057694349
RAJASTHAN,2009,1519,2310,436,2485,24,10371,0,66184761,17145,25.904754721407844
RAJASTHAN,2010,1571,2477,462,2339,23,11145,0,67356231,18017,26.748824470300303
RAJASTHAN,2011,1800,2713,514,0,9,12218,81,68548437,17335,25.288687472188464
RAJASTHAN,2012,2049,2697,478,2352,18,13312,99,69508115,21005,30.21949307645589
RAJASTHAN,2013,3285,4047,453,4829,25,15094,74,70481228,27807,39.45305833774633
RAJASTHAN,2014,3759,4421,12,5999,727,15905,78,71467965,30901,43.23755405656227
RAJASTHAN,2015,3644,4167,463,4813,649,14383,86,72468517,28205,38.92034937047215
RAJASTHAN,2016,3656,4010,462,4839,483,13811,56,73483076,27317,37.174546149918925
RAJASTHAN,2017,3305,3838,457,4883,24,11508,86,74511839,24101,32.34519550644831
RAJASTHAN,2018,4335,4247,404,5249,34,12250,62,75555005,26581,35.18099164972592
RAJASTHAN,2019,5997,5907,452,8802,69,18432,40,76612775,39699,51.81772883177773
RAJASTHAN,2020,12,11,0,18,0,1,0,77685354,42,0.0540642448510951
RAJASTHAN,2021,8,1,0,17,0,3,0,78772949,29,0.0368146684466516
SIKKIM,2001,8,2,0,0,14,0,0,512321,24,4.684562998588775
SIKKIM,2002,6,2,0,17,0,3,0,521389,28,5.370270565738824
SIKKIM,2003,10,0,0,25,0,1,0,530618,36,6.784541798431263
SIKKIM,2004,3,4,0,40,0,1,0,540010,48,8.88872428288365
SIKKIM,2005,18,2,0,38,0,4,0,549568,62,11.28158844765343
SIKKIM,2006,20,7,0,14,0,6,0,559295,47,8.40343646912631
SIKKIM,2007,24,9,0,13,0,7,0,569195,53,9.3113959187976
SIKKIM,2008,20,4,0,19,0,5,0,579270,48,8.286291366720183
SIKKIM,2009,18,6,0,10,0,6,0,589523,40,6.785146635500226
SIKKIM,2010,18,6,1,11,0,3,0,599957,39,6.5004658667204485
SIKKIM,2011,16,10,0,0,0,4,1,610577,31,5.07716471468791
SIKKIM,2012,34,10,1,19,0,4,0,619125,68,10.98324247930547
SIKKIM,2013,43,16,0,29,0,5,0,627792,93,14.81382368682621
SIKKIM,2014,47,12,0,34,14,5,0,636581,112,17.593990395566315
SIKKIM,2015,5,21,1,21,5,2,0,645494,55,8.520605923525238
SIKKIM,2016,92,12,0,34,8,2,0,654530,148,22.611644997173546
SIKKIM,2017,17,27,0,21,7,5,0,663694,77,11.60173212353886
SIKKIM,2018,16,7,1,23,5,1,0,672986,53,7.87534956150648
SIKKIM,2019,11,0,0,21,2,1,0,682407,35,5.128904011828718
SIKKIM,2020,389,633,40,892,31,689,231,691961,2905,419.821348312983
SIKKIM,2021,422,638,27,1077,32,875,381,701649,3452,491.9838836797316
TAMIL NADU,2001,423,607,191,1773,1012,815,14,60536974,4835,7.986854447002917
TAMIL NADU,2002,534,714,243,1877,1718,1052,0,61608479,6138,9.962914357940893
TAMIL NADU,2003,557,632,220,2022,881,1555,1,62698949,5868,9.359008553715949
TAMIL NADU,2004,618,692,225,1861,1081,1437,0,63808720,5914,9.268325708461164
TAMIL NADU,2005,571,783,215,1764,665,1650,0,64938134,5648,8.6975089244172
TAMIL NADU,2006,457,718,187,1179,852,1248,0,66087539,4641,7.022503894417977
TAMIL NADU,2007,523,1097,208,1540,875,1976,0,67257289,6219,9.246581437440929
TAMIL NADU,2008,573,1160,207,1705,974,1648,0,68447743,6267,9.155889917363677
TAMIL NADU,2009,596,1133,194,1242,501,1460,0,69659268,5126,7.35867623530009
TAMIL NADU,2010,686,1464,165,1405,638,1570,0,70892237,5928,8.361987505063496
TAMIL NADU,2011,677,1743,152,0,464,1812,420,72147030,5268,7.301755872694967
TAMIL NADU,2012,737,1693,110,1494,382,1965,500,73157088,6881,9.405787174032952
TAMIL NADU,2013,923,1516,118,1271,313,2471,549,74181287,7161,9.653377946920765
TAMIL NADU,2014,455,1502,292,1102,46,2103,471,75219825,5971,7.938066859368525
TAMIL NADU,2015,421,1335,65,1163,197,1900,491,76272903,5572,7.305346696978349
TAMIL NADU,2016,319,1043,58,854,115,1256,432,77340723,4077,5.271479036988056
TAMIL NADU,2017,283,859,48,744,9,984,403,78423494,3330,4.246176534802186
TAMIL NADU,2018,331,896,55,814,14,789,386,79521422,3285,4.130962346221626
TAMIL NADU,2019,362,699,28,803,7,781,349,80634722,3029,3.756446261450496
TAMIL NADU,2020,764,1314,158,4907,565,7453,13,81763608,15174,18.558378686028632
TAMIL NADU,2021,823,1934,175,4365,775,9468,12,82908299,17552,21.170377648201416
TELANGANA,2011,0,0,0,0,0,0,0,35003674,0,0.0
TELANGANA,2012,0,0,0,0,0,0,0,35493725,0,0.0
TELANGANA,2013,0,0,0,0,0,0,0,35990637,0,0.0
TELANGANA,2014,979,711,563,3188,620,6369,192,36494506,12622,34.586027825667784
TELANGANA,2015,1105,648,262,3608,620,7329,252,37005429,13824,37.35668082648089
TELANGANA,2016,1278,987,254,3767,859,7202,240,37523505,14587,38.87430025526667
TELANGANA,2017,552,934,251,4409,1160,7838,79,38048834,15223,40.00911039744345
TELANGANA,2018,606,1121,186,4567,878,6286,81,38581518,13725,35.57402795815344
TELANGANA,2019,873,1322,163,4190,695,8541,22,39121659,15806,40.40217210624938
TELANGANA,2020,79,110,23,115,3,356,0,39669362,686,1.7292942598875174
TELANGANA,2021,61,115,22,94,1,355,0,40224733,648,1.6109491640379563
TRIPURA,2001,102,35,16,58,0,227,0,3082702,438,14.208314653832904
TRIPURA,2002,108,48,16,128,0,236,0,3137266,536,17.0849395620263
TRIPURA,2003,114,29,20,127,0,247,0,3192795,537,16.819119298295067
TRIPURA,2004,160,54,20,134,0,302,0,3249308,670,20.61977504133188
TRIPURA,2005,162,43,34,161,1,439,0,3306821,840,25.402040207195974
TRIPURA,2006,189,62,35,207,0,471,0,3365351,964,28.644857549777125
TRIPURA,2007,157,81,36,244,4,545,0,3424918,1067,31.154030549052564
TRIPURA,2008,204,110,16,346,4,735,0,3485539,1415,40.5963037567504
TRIPURA,2009,190,92,29,384,5,815,0,3547233,1515,42.70934556596649
TRIPURA,2010,238,91,25,376,9,937,0,3610019,1676,46.42634844858158
TRIPURA,2011,205,116,30,0,9,702,2,3673917,1064,28.96091555688384
TRIPURA,2012,229,114,37,314,7,858,0,3725351,1559,41.84840569385274
TRIPURA,2013,233,124,29,407,7,827,0,3777506,1627,43.07074561893482
TRIPURA,2014,239,102,1,492,82,702,0,3830391,1618,42.2411184654517
TRIPURA,2015,213,120,28,352,28,501,2,3884017,1244,32.02869606389467
TRIPURA,2016,207,119,19,214,52,430,0,3938393,1041,26.43210060550077
TRIPURA,2017,95,90,33,225,9,348,0,3993531,800,20.032397394686555
TRIPURA,2018,97,139,18,165,6,303,2,4049440,730,18.02718400568968
TRIPURA,2019,88,138,38,153,5,451,0,4106132,873,21.260884939889905
TRIPURA,2020,2769,9109,2274,9864,28,14454,25,4163618,38523,925.228971533892
TRIPURA,2021,2845,10574,2222,9393,27,18375,12,4221909,43448,1029.107922506146
UTTAR PRADESH,2001,1958,2879,2211,2870,2575,7365,0,167658108,19858,11.84434217759394
UTTAR PRADESH,2002,1415,2298,1893,2145,1887,5679,0,170625657,15317,8.976961770761124
UTTAR PRADESH,2003,911,1499,1322,1098,4970,2626,0,173645731,12426,7.155949028196956
UTTAR PRADESH,2004,1397,2324,1708,1900,2682,4950,3,176719260,14964,8.467667870496967
UTTAR PRADESH,2005,1217,2256,1564,1835,2881,4505,0,179847191,14258,7.92784136394991
UTTAR PRADESH,2006,1314,2551,1798,2096,2714,5204,0,183030487,15677,8.565239735170458
UTTAR PRADESH,2007,1648,3363,2076,2522,2882,7650,0,186270126,20141,10.812791311474175
UTTAR PRADESH,2008,1871,4439,2237,2955,3374,8312,0,189567107,23188,12.23207990403103
UTTAR PRADESH,2009,1759,5078,2232,2782,2524,8566,0,192922445,22941,11.891306892777562
UTTAR PRADESH,2010,1563,5468,2217,2793,11,7978,0,196337173,20030,10.201837835364982
UTTAR PRADESH,2011,2042,7525,2322,0,3,7121,43,199812341,19056,9.536948471065658
UTTAR PRADESH,2012,1963,7910,2244,3247,8,7661,31,202609713,23064,11.38346215415645
UTTAR PRADESH,2013,3050,9737,2335,7303,25,8781,37,205446249,31268,15.219552633448176
UTTAR PRADESH,2014,3467,10626,2133,8605,4435,10471,37,208322497,39774,19.09251308561264
UTTAR PRADESH,2015,3025,10135,2335,7885,5925,8660,33,211239012,37998,17.988154574402195
UTTAR PRADESH,2016,4816,12994,2473,11335,9422,11156,50,214196358,52246,24.391637882096948
UTTAR PRADESH,2017,4246,14993,2524,12607,91,12653,25,217195107,47139,21.703527602949176
